Postcode;Plaatsnaam;Gemeentecode;Gemeente;Provinciecode;Provincie;Zorgkantoorcode;Zorgkantoor;Rechtspersoon
4826;BREDA             ;758;BREDA                   ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4827;BREDA             ;758;BREDA                   ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4834;BREDA             ;758;BREDA                   ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4835;BREDA             ;758;BREDA                   ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4836;BREDA             ;758;BREDA                   ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4837;BREDA             ;758;BREDA                   ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4838;BREDA             ;758;BREDA                   ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4839;BREDA             ;758;BREDA                   ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4840;PRINSENBEEK       ;758;BREDA                   ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4841;PRINSENBEEK       ;758;BREDA                   ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4844;TERHEYDEN         ;1719;DRIMMELEN               ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4845;WAGENBERG         ;1719;DRIMMELEN               ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4847;TETERINGEN        ;758;BREDA                   ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4849;DORST             ;826;OOSTERHOUT              ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4850;ULVENHOUT         ;758;BREDA                   ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4851;ULVENHOUT         ;758;BREDA                   ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4854;BAVEL             ;758;BREDA                   ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4855;GALDER            ;1723;ALPHEN-CHAAM            ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4856;STRYBEEK          ;1723;ALPHEN-CHAAM            ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4858;ULVENHOUT AC      ;1723;ALPHEN-CHAAM            ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4859;BAVEL AC          ;1723;ALPHEN-CHAAM            ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
4860;CHAAM             ;1723;ALPHEN-CHAAM            ;P;Noord-Brabant;5526;WEST-BRABANT;CZ
